n,t(s),t^2(s^2),Position (cm)+1.25,t (min),Error in Position(cm)
1,0,0,-0.5,0,0.3
2,10,100,-0.5,0.1666666667,0.3
3,20,400,-0.5,0.3333333333,0.3
4,30,900,-0.25,0.5,0.3
5,40,"1,600",-0.1,0.6666666667,0.3
6,50,"2,500",0,0.8333333333,0.3
7,60,"3,600",0.5,1,0.3
8,70,"4,900",0.75,1.166666667,0.3
9,80,"6,400",1,1.333333333,0.3
10,90,"8,100",1.5,1.5,0.3
11,100,"10,000",2,1.666666667,0.3
12,110,"12,100",2.5,1.833333333,0.3
13,120,"14,400",3,2,0.3
14,130,"16,900",3.5,2.166666667,0.3
15,140,"19,600",4,2.333333333,0.3
16,150,"22,500",4.5,2.5,0.3
17,160,"25,600",5,2.666666667,0.3
18,170,"28,900",5.5,2.833333333,0.3
19,180,"32,400",6,3,0.3
20,190,"36,100",6.5,3.166666667,0.3
21,200,"40,000",7,3.333333333,0.3
22,210,"44,100",8,3.5,0.3
23,220,"48,400",8.5,3.666666667,0.3
24,230,"52,900",9,3.833333333,0.3
25,240,"57,600",9.5,4,0.3
26,250,"62,500",9.75,4.166666667,0.3
27,260,"67,600",10,4.333333333,0.3
28,270,"72,900",10.25,4.5,0.3
29,280,"78,400",10.5,4.666666667,0.3
30,290,"84,100",11,4.833333333,0.3
31,300,"90,000",11.25,5,0.3
32,310,"96,100",11.75,5.166666667,0.3
33,320,"102,400",12,5.333333333,0.3
34,330,"108,900",12.25,5.5,0.3
35,340,"115,600",12.4,5.666666667,0.3
36,350,"122,500",12.4,5.833333333,0.3
37,360,"129,600",12.4,6,0.3
38,370,"136,900",12.3,6.166666667,0.3
39,380,"144,400",12,6.333333333,0.3
40,390,"152,100",11,6.5,0.3
41,400,"160,000",10.5,6.666666667,0.3
42,410,"168,100",10.25,6.833333333,0.3
43,420,"176,400",10,7,0.3
44,430,"184,900",9.5,7.166666667,0.3
45,440,"193,600",9.2,7.333333333,0.3
46,450,"202,500",9,7.5,0.3
47,460,"211,600",8.5,7.666666667,0.3
48,470,"220,900",8,7.833333333,0.3
49,480,"230,400",7.3,8,0.3
50,490,"240,100",7,8.166666667,0.3
51,500,"250,000",6.5,8.333333333,0.3
52,510,"260,100",6,8.5,0.3
53,520,"270,400",5.5,8.666666667,0.3
54,530,"280,900",5,8.833333333,0.3
55,540,"291,600",4.9,9,0.3
56,550,"302,500",4.5,9.166666667,0.3
57,560,"313,600",4.1,9.333333333,0.3
58,570,"324,900",3.75,9.5,0.3
59,580,"336,400",3.5,9.666666667,0.3
60,590,"348,100",3.4,9.833333333,0.3
61,600,"360,000",3,10,0.3
